epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,217.9,3.75675,1.55936,0.80815,0.22857,0.10896,0.05279,0.01365,3.70675,1.51593,0.79884,0.0012773,0.0012773,0.0012773
75,372.419,3.76037,1.53764,0.81131,0.22338,0.10641,0.05146,0.01265,3.74501,1.51634,0.8048,0.0012674,0.0012674,0.0012674
76,498.354,3.76556,1.54467,0.80918,0.23914,0.11269,0.05866,0.01633,3.66473,1.49569,0.79791,0.0012575,0.0012575,0.0012575
77,628.914,3.7845,1.5445,0.8086,0.18802,0.08838,0.03859,0.00947,3.91094,1.55193,0.82141,0.0012476,0.0012476,0.0012476
78,786.443,3.77255,1.5442,0.80567,0.24559,0.11454,0.06092,0.01562,3.65657,1.48856,0.79748,0.0012377,0.0012377,0.0012377
79,954.59,3.741,1.53706,0.80979,0.20758,0.10088,0.0448,0.01116,3.77871,1.53356,0.80623,0.0012278,0.0012278,0.0012278
80,1153.14,3.75344,1.53751,0.80373,0.19973,0.09549,0.04507,0.01132,3.85454,1.52357,0.81361,0.0012179,0.0012179,0.0012179
81,1339.3,3.77267,1.54309,0.81003,0.2239,0.10807,0.05104,0.01267,3.72802,1.50283,0.80392,0.001208,0.001208,0.001208
82,1504.82,3.76959,1.55361,0.81395,0.23363,0.1098,0.05453,0.01524,3.71578,1.49905,0.80254,0.0011981,0.0011981,0.0011981
83,1662.17,3.76588,1.54968,0.80451,0.23999,0.11176,0.05841,0.01444,3.67203,1.48754,0.79741,0.0011882,0.0011882,0.0011882
84,1845.47,3.75124,1.51562,0.79849,0.22904,0.10816,0.05195,0.01249,3.7145,1.50713,0.80106,0.0011783,0.0011783,0.0011783
85,2006.03,3.7524,1.5333,0.80417,0.21374,0.10113,0.04615,0.01092,3.77749,1.52038,0.80867,0.0011684,0.0011684,0.0011684
86,2131.3,3.70297,1.52648,0.80654,0.23413,0.11045,0.05348,0.0133,3.71718,1.49973,0.79942,0.0011585,0.0011585,0.0011585
87,2309.89,3.73737,1.52414,0.80636,0.22251,0.10364,0.05064,0.0121,3.77723,1.52576,0.80937,0.0011486,0.0011486,0.0011486
88,2426.93,3.73394,1.52808,0.80754,0.21945,0.10386,0.0482,0.01111,3.75117,1.50624,0.80314,0.0011387,0.0011387,0.0011387
89,2684.96,3.71284,1.51212,0.80866,0.24898,0.11554,0.05941,0.01466,3.65566,1.48947,0.79684,0.0011288,0.0011288,0.0011288
90,2841.64,3.71672,1.51496,0.80833,0.24602,0.11581,0.05722,0.01453,3.66192,1.46831,0.79341,0.0011189,0.0011189,0.0011189
91,2954.27,3.71755,1.53032,0.80767,0.24241,0.11353,0.05601,0.01421,3.66777,1.49199,0.7963,0.001109,0.001109,0.001109
92,3048.01,3.68656,1.50185,0.80767,0.22519,0.10572,0.05098,0.01261,3.7502,1.50711,0.80486,0.0010991,0.0010991,0.0010991
93,3206.46,3.72888,1.52554,0.80625,0.24829,0.11482,0.05992,0.01491,3.66607,1.48825,0.79613,0.0010892,0.0010892,0.0010892
94,3324.03,3.70256,1.50887,0.79908,0.23873,0.11015,0.05352,0.01377,3.70867,1.48523,0.80136,0.0010793,0.0010793,0.0010793
95,3511.77,3.69955,1.51147,0.80624,0.21455,0.1004,0.0462,0.01152,3.78715,1.49779,0.81131,0.0010694,0.0010694,0.0010694
96,3677.74,3.71267,1.51282,0.80478,0.24973,0.11446,0.05877,0.01453,3.66877,1.46622,0.79889,0.0010595,0.0010595,0.0010595
97,3780.65,3.70379,1.51922,0.80556,0.23896,0.11047,0.05288,0.0131,3.70071,1.48343,0.79834,0.0010496,0.0010496,0.0010496
98,3982.42,3.68525,1.50678,0.80063,0.24017,0.11144,0.05485,0.01463,3.70198,1.48401,0.80119,0.0010397,0.0010397,0.0010397
99,4108.33,3.68554,1.49739,0.79825,0.23753,0.11067,0.05554,0.01389,3.70441,1.48342,0.80249,0.0010298,0.0010298,0.0010298
100,4238.53,3.67988,1.49219,0.80411,0.24183,0.11373,0.05875,0.0143,3.68434,1.46723,0.79703,0.0010199,0.0010199,0.0010199
101,4369.65,3.65376,1.49345,0.80729,0.22977,0.10601,0.05396,0.01341,3.73033,1.49893,0.80361,0.00101,0.00101,0.00101
102,5147.13,3.69317,1.50132,0.80052,0.21807,0.10259,0.04835,0.01191,3.76151,1.51242,0.80685,0.0010001,0.0010001,0.0010001
103,5577.26,3.68911,1.50224,0.80227,0.24865,0.1135,0.06132,0.01532,3.66194,1.46714,0.8004,0.0009902,0.0009902,0.0009902
104,5700.46,3.69204,1.51515,0.79816,0.24505,0.11366,0.06024,0.01575,3.66732,1.48711,0.79979,0.0009803,0.0009803,0.0009803
105,5881.77,3.70963,1.51709,0.79949,0.24541,0.11344,0.05792,0.0143,3.67851,1.47438,0.79899,0.0009704,0.0009704,0.0009704
106,6079.52,3.69416,1.48906,0.79533,0.26629,0.11833,0.06402,0.01691,3.62589,1.45357,0.79478,0.0009605,0.0009605,0.0009605
107,6199.83,3.67529,1.49505,0.80003,0.23586,0.10932,0.05521,0.01414,3.71247,1.48748,0.80207,0.0009506,0.0009506,0.0009506
108,6397.42,3.68515,1.51469,0.80158,0.2553,0.11691,0.06256,0.01603,3.6444,1.46387,0.79766,0.0009407,0.0009407,0.0009407
109,6521.24,3.68256,1.50054,0.79493,0.23876,0.10899,0.05591,0.01398,3.70401,1.47917,0.80094,0.0009308,0.0009308,0.0009308
110,6640.99,3.66157,1.49285,0.79679,0.25946,0.11566,0.06354,0.01569,3.65786,1.46952,0.79874,0.0009209,0.0009209,0.0009209
111,6748.38,3.667,1.4831,0.8036,0.25041,0.11283,0.05871,0.01413,3.68341,1.45791,0.80095,0.000911,0.000911,0.000911
112,6924.18,3.65556,1.48982,0.79751,0.24504,0.11193,0.05853,0.01452,3.68723,1.47556,0.80089,0.0009011,0.0009011,0.0009011
113,7028.94,3.64099,1.48707,0.7949,0.25026,0.11358,0.05994,0.01452,3.67853,1.46915,0.80264,0.0008912,0.0008912,0.0008912
114,7194.82,3.67612,1.49941,0.79869,0.2611,0.11858,0.06532,0.01774,3.63501,1.46628,0.7966,0.0008813,0.0008813,0.0008813
115,7366.23,3.68581,1.48835,0.7991,0.26392,0.11921,0.06326,0.01742,3.62339,1.44908,0.79463,0.0008714,0.0008714,0.0008714
116,7484.52,3.62924,1.47215,0.79483,0.26891,0.1196,0.06732,0.01848,3.64047,1.44623,0.79428,0.0008615,0.0008615,0.0008615
117,7604.76,3.62317,1.47622,0.80042,0.26337,0.11864,0.06707,0.01805,3.64158,1.45738,0.79662,0.0008516,0.0008516,0.0008516
118,7761.09,3.63077,1.47174,0.7947,0.26704,0.11972,0.06402,0.01724,3.62526,1.44414,0.79589,0.0008417,0.0008417,0.0008417
119,7950.66,3.67258,1.48757,0.79445,0.24487,0.11084,0.05892,0.01581,3.69924,1.47078,0.80317,0.0008318,0.0008318,0.0008318
120,8073.06,3.59671,1.47087,0.79556,0.25403,0.1143,0.0613,0.01654,3.67159,1.46095,0.80037,0.0008219,0.0008219,0.0008219
